Medicine Name
10 CC
3 WAY CANULA
AAXIM 500
ACCESSORIES MEDICAL ITEM
ACERET 25 CAP
ACIPSOR 10 CAP
ACIPSOR 25 CAP
ACNEFIQ
ACNELIME 408 CAP
ACNESOL LOTION
ACOGUT ER 300 TAB
ACOGUT TAB
ACOTIBIEN 100 TAB
ACRCORT-HS CREAM
ACROTAC 10MG CAP
ACROTAC 25 MG TAB
ACTAPRO 100MG TAB
ACTAPRO 100MG TAB 15S
ACTIBILE-300 TAB
ACTORISE 40 MG INJ
ACTRAPID FLEXPEN
ACTRAPID HM PENFIL INJ.
ADCYCLO 50MG TAB
ADDKAY TAB
ADESAM 400MG TAB
ADLUMAB 40MG
ADMENTA 5MG TAB
AERO MIST MASK (A)
AERO MIST MASK (C)
AEROTROP INHALATION
AEROTROP INHALATION 18MCG CAP
AF 150 MG TAB
AF 200 MG TAB
AF 300MG TAB
AF 400MG TAB
AFOGLIP 20 MG TAB
AFOGLIP M 1000 MG TAB
AHAGLOW FACEWASH 100 GM
AHAGLOW FACEWASH 200GM
AHAGLOW FACEWASH 50GM
AIRZ FB INHALER
AJADUO 10/5 MG TAB
AJADUO 25MG/5MG
AKSICEF 500 MG TAB
ALASPAN 10MG TAB
ALBUREL 20G IV 100ML
ALCOLIV TAB
ALDACTONE 25MG TAB 15S
ALDACTONE 50MG TAB 15S
ALDACTONE T 10
ALDO 8MG CAP
ALDRY LOTION
ALERGARD M TAB
ALEX COUGH FORMULA 100ML
ALEX COUGH FORMULA S/F 100ML
ALEX S/F SYP 100ML
ALFA ARCIUM CAP
ALFOO TAB
ALFUSIN 10MG TAB 15S
ALFUSIN D TAB
ALFUSIN TAB
ALKASHOT CP SYP
ALKASOL LIQ 100ML
ALLEGRA 120MG  TAB
ALLEGRA 180MG TAB
ALLEGRA SUSPENSION
ALLSTAR PEN
ALOEDERM F CREAM
ALPHANEURON CAP
ALPRAX-0.25 TAB
ALPRAX-0.5 MG TAB
ALZAC 30
ALZOLAM 0.25MG TAB
ALZOLAM 0.5MG TAB
AMARYL 1MG TAB 30S
AMARYL 2MG TAB 30S
AMARYL 3MG TAB 30S
AMARYL M 1MG TAB 15S
AMARYL M 2MG TAB
AMIGRAF 0.5 MG TAB
AMIGRAF 1MG TAB
AMIGRAF 2.0MG TAB
AMINASE CAP
AMISANT 200MG TAB
AMIXIDE H TAB
AMLIP 2.5 TAB
AMLIP 5 MG TAB
AMLODAC 10MG TAB 15S
AMLODAC 10MG TAB 30S
AMLODAC 2.5 TAB
AMLODAC 5MG TAB 30S
AMLODAC-AT TAB
AMLOGARD 10MG TAB 30
AMLOGARD 5MG TAB 30S
AMLOKIND 5MG TAB
AMLONG 5MG TAB
AMLOPRES 5MG TAB
